City,Colors,Shape,State,Time,Month,Day,Year
Logan,,CIRCLE,WV,6/16/2002 22:00,6,16,2002
Spokane,,LIGHT,WA,6/16/2002 22:00,6,16,2002
Marion,,DISK,OH,6/17/2002 6:45,6,17,2002
Detroit,,TRIANGLE,MI,6/17/2002 8:20,6,17,2002
Licking,,LIGHT,MO,6/17/2002 20:15,6,17,2002
Old Saybrook,,LIGHT,CT,6/17/2002 20:45,6,17,2002
Greensburg,,CIRCLE,PA,6/17/2002 21:25,6,17,2002
Hurley,,OTHER,NM,6/17/2002 21:30,6,17,2002
Paradise,BLUE,FORMATION,CA,6/17/2002 23:57,6,17,2002
Index,,,WA,6/18/2002 1:00,6,18,2002
Cedar Rapids,,FORMATION,IA,6/18/2002 7:45,6,18,2002
Broomfield,,SPHERE,CO,6/18/2002 12:40,6,18,2002
Dallas,,CIRCLE,TX,6/18/2002 14:25,6,18,2002
Moultonboro,,OTHER,NH,6/18/2002 20:00,6,18,2002
Seattle,,DISK,WA,6/18/2002 20:30,6,18,2002
Encino,,TRIANGLE,CA,6/18/2002 21:00,6,18,2002
Laconia,,,NH,6/18/2002 21:00,6,18,2002
Plymouth,,FIREBALL,NH,6/18/2002 21:00,6,18,2002
Plymouth,,FIREBALL,NH,6/18/2002 21:00,6,18,2002
Evanston,,CIRCLE,IL,6/18/2002 21:15,6,18,2002
Moultonborough,,,NH,6/18/2002 21:15,6,18,2002
Gilford,YELLOW,SPHERE,NH,6/18/2002 21:25,6,18,2002
Moultonborough,,VARIOUS,NH,6/18/2002 21:30,6,18,2002
Yarmouth,,SPHERE,ME,6/18/2002 21:45,6,18,2002
Rockford,,TRIANGLE,IL,6/18/2002 22:00,6,18,2002
San Jose,,CIRCLE,CA,6/18/2002 22:30,6,18,2002
Paradise,,LIGHT,CA,6/18/2002 22:57,6,18,2002
Branson,,DISK,MO,6/19/2002 15:00,6,19,2002
Socorro,,CYLINDER,NM,6/19/2002 19:00,6,19,2002
Richmond,,TRIANGLE,VA,6/19/2002 21:05,6,19,2002
Tucson,,LIGHT,AZ,6/19/2002 21:40,6,19,2002
Houston,,LIGHT,TX,6/19/2002 21:50,6,19,2002
Salem,,CIRCLE,AR,6/20/2002 0:00,6,20,2002
Pine Grove Mills,,CYLINDER,PA,6/20/2002 20:10,6,20,2002
Los Angeles,RED,OTHER,CA,6/20/2002 20:15,6,20,2002
Landover,,,MD,6/20/2002 21:00,6,20,2002
Holmdel,,TRIANGLE,NJ,6/20/2002 22:50,6,20,2002
Port Angeles,,FIREBALL,WA,6/20/2002 23:15,6,20,2002
Martinez,,LIGHT,GA,6/20/2002 23:20,6,20,2002
Palm Beach,RED,LIGHT,FL,6/21/2002 1:40,6,21,2002
Avenal,,,CA,6/21/2002 2:40,6,21,2002
Visalia,,VARIOUS,CA,6/21/2002 11:30,6,21,2002
Portland,,SPHERE,OR,6/21/2002 16:30,6,21,2002
Portland,,LIGHT,OR,6/21/2002 16:42,6,21,2002
Lake Oswego,,CIRCLE,OR,6/21/2002 16:50,6,21,2002
Portland,,SPHERE,OR,6/21/2002 17:45,6,21,2002
Plainwell,,CIRCLE,MI,6/21/2002 21:10,6,21,2002
Spokane,,LIGHT,WA,6/21/2002 22:35,6,21,2002
Warren,,SPHERE,PA,6/21/2002 23:00,6,21,2002
Marion,,TEARDROP,NY,6/22/2002 15:00,6,22,2002
Butte,,,MT,6/22/2002 16:00,6,22,2002
Butte,,FORMATION,MT,6/22/2002 16:00,6,22,2002
Butte,,FORMATION,MT,6/22/2002 16:00,6,22,2002
Patterson,,LIGHT,NC,6/22/2002 20:30,6,22,2002
Ansted,,,WV,6/22/2002 21:00,6,22,2002
Ansted,,,WV,6/22/2002 21:00,6,22,2002
Ansted,,LIGHT,WV,6/22/2002 21:00,6,22,2002
Kalamazoo to Muskegon,,LIGHT,MI,6/22/2002 21:30,6,22,2002
Salem,,LIGHT,OR,6/22/2002 22:30,6,22,2002
New York City,,CYLINDER,NY,6/23/2002 3:00,6,23,2002
Northridge,,VARIOUS,CA,6/23/2002 17:00,6,23,2002
Tucson,,DISK,AZ,6/23/2002 18:47,6,23,2002
Claremont,,CIGAR,CA,6/23/2002 19:30,6,23,2002
Port Matilda,,OTHER,PA,6/23/2002 21:30,6,23,2002
Woodland Hills-Canoga Park,,LIGHT,CA,6/23/2002 22:00,6,23,2002
Williamsburg,,LIGHT,VA,6/23/2002 22:13,6,23,2002
Deerfield Beach,,SPHERE,FL,6/24/2002 0:10,6,24,2002
Laguna Niguel,,RECTANGLE,CA,6/24/2002 16:15,6,24,2002
Phoenix,,LIGHT,AZ,6/24/2002 18:58,6,24,2002
New York City,,LIGHT,NY,6/24/2002 20:15,6,24,2002
Branson,,TRIANGLE,MO,6/24/2002 21:30,6,24,2002
Walnut Creek,,,CA,6/24/2002 21:55,6,24,2002
Louisville,RED,,KY,6/24/2002 22:00,6,24,2002
Deerfield Beach,,DISK,FL,6/24/2002 23:10,6,24,2002
Waconia,,LIGHT,MN,6/25/2002 3:00,6,25,2002
Portland,,CIGAR,OR,6/25/2002 10:20,6,25,2002
Washington County,,CIRCLE,WV,6/25/2002 18:35,6,25,2002
Noblesville,RED,CIGAR,IN,6/25/2002 21:10,6,25,2002
Green Valley,,RECTANGLE,AZ,6/25/2002 22:00,6,25,2002
Waterville,,LIGHT,ME,6/25/2002 22:00,6,25,2002
Westerly,,LIGHT,RI,6/25/2002 22:00,6,25,2002
Portland,,CIRCLE,OR,6/25/2002 23:00,6,25,2002
Orting,,OTHER,WA,6/25/2002 23:12,6,25,2002
Aberdeen,,CIRCLE,WA,6/25/2002 23:30,6,25,2002
Flathead Lake,,DISK,MT,6/26/2002 3:00,6,26,2002
Sabina,GREEN,SPHERE,OH,6/26/2002 3:00,6,26,2002
St. Helens,,DISK,OR,6/26/2002 3:00,6,26,2002
Mercury,,OTHER,NV,6/26/2002 13:00,6,26,2002
Tampa,BLUE,SPHERE,FL,6/26/2002 21:00,6,26,2002
Plantation,,LIGHT,CA,6/26/2002 21:45,6,26,2002
Mabton,GREEN,TRIANGLE,WA,6/26/2002 21:50,6,26,2002
Freehold,,DISK,NJ,6/26/2002 22:30,6,26,2002
Hoffman Estates,,FIREBALL,IL,6/26/2002 23:23,6,26,2002
Clearfield,BLUE,LIGHT,UT,6/27/2002 2:00,6,27,2002
Wichita,,TEARDROP,KS,6/27/2002 17:00,6,27,2002
Dunn,,TEARDROP,NC,6/27/2002 20:00,6,27,2002
Phoenix,,FIREBALL,AZ,6/27/2002 21:45,6,27,2002
Natchitoches,,OVAL,LA,6/27/2002 22:00,6,27,2002
Selden,,FORMATION,NY,6/27/2002 22:25,6,27,2002
New York City,,EGG,NY,6/28/2002 13:26,6,28,2002
Winston-Salem,,DISK,NC,6/28/2002 19:00,6,28,2002
Wisconsin Dells,,EGG,WI,6/28/2002 21:00,6,28,2002
Wooster,,CIRCLE,OH,6/28/2002 21:45,6,28,2002
Berryville,,,VA,6/28/2002 22:00,6,28,2002
Salt Lake City,,SPHERE,UT,6/29/2002 0:00,6,29,2002
Martinez,,OVAL,CA,6/29/2002 2:25,6,29,2002
Los Angeles,ORANGE,CONE,CA,6/29/2002 3:45,6,29,2002
Napa,,SPHERE,CA,6/29/2002 10:50,6,29,2002
Richmond,,OTHER,KY,6/29/2002 14:00,6,29,2002
Largo,,DISK,FL,6/30/2002 0:00,6,30,2002
Hastings,,OTHER,NE,6/30/2002 7:00,6,30,2002
Travelers Rest,,LIGHT,SC,6/30/2002 10:00,6,30,2002
Thousand Palms,,OTHER,CA,6/30/2002 18:30,6,30,2002
Denver,,LIGHT,CO,6/30/2002 20:00,6,30,2002
Sedona,,TRIANGLE,AZ,6/30/2002 20:00,6,30,2002
Sun Valley,,LIGHT,NV,6/30/2002 20:00,6,30,2002
Lansdale,,FORMATION,PA,6/30/2002 21:00,6,30,2002
Honolulu,,CIRCLE,HI,6/30/2002 22:00,6,30,2002
Layton,,,UT,6/30/2002 23:00,6,30,2002
North Port,,LIGHT,FL,6/30/2002 23:00,6,30,2002
Sumner,,DISK,WA,7/1/2002 9:21,7,1,2002
Rohnert Park,,VARIOUS,CA,7/1/2002 21:30,7,1,2002
Napa,,VARIOUS,CA,7/1/2002 22:00,7,1,2002
Newport News,,CIRCLE,VA,7/1/2002 23:00,7,1,2002
North Java,,TRIANGLE,NY,7/1/2002 23:00,7,1,2002
Mantua,,DISK,OH,7/2/2002 1:00,7,2,2002
Topeka,,OTHER,KS,7/2/2002 2:00,7,2,2002
Kansas City,,OVAL,MO,7/2/2002 2:15,7,2,2002
Duanesburg,,LIGHT,NY,7/2/2002 2:30,7,2,2002
Los Angeles,,,CA,7/2/2002 13:00,7,2,2002
Boise,,SPHERE,ID,7/2/2002 14:30,7,2,2002
Goodyear,,LIGHT,AZ,7/2/2002 21:30,7,2,2002
South Paris,,SPHERE,ME,7/2/2002 22:10,7,2,2002
Akron,,OVAL,OH,7/3/2002 1:00,7,3,2002
Las Cruces,GREEN,CYLINDER,NM,7/3/2002 1:45,7,3,2002
Scituate,,LIGHT,MA,7/3/2002 3:10,7,3,2002
Wall,,CIRCLE,NJ,7/3/2002 12:30,7,3,2002
Atlanta,,OVAL,GA,7/3/2002 17:00,7,3,2002
San Diego,,CONE,CA,7/3/2002 19:10,7,3,2002
Greensburg,RED,DIAMOND,PA,7/3/2002 22:00,7,3,2002
Fresno,,TRIANGLE,CA,7/3/2002 22:45,7,3,2002
I-355,,LIGHT,IL,7/3/2002 23:00,7,3,2002
Cumberland,,FLASH,WI,7/3/2002 23:30,7,3,2002
Dorena,,TRIANGLE,OR,7/4/2002 0:10,7,4,2002
Naples,,CIRCLE,ME,7/4/2002 1:30,7,4,2002
Cumberland,,CIRCLE,TN,7/4/2002 2:00,7,4,2002
Henryetta,,,OK,7/4/2002 10:00,7,4,2002
Sherman,,CIGAR,NY,7/4/2002 15:00,7,4,2002
Junction City,,CIGAR,KS,7/4/2002 16:30,7,4,2002
Elysburg,,FIREBALL,PA,7/4/2002 17:00,7,4,2002
Pembroke Pines,,SPHERE,FL,7/4/2002 17:30,7,4,2002
Bremerton,,OVAL,WA,7/4/2002 19:00,7,4,2002
San Bernardino,,,CA,7/4/2002 20:23,7,4,2002
New York City,,TRIANGLE,NY,7/4/2002 20:48,7,4,2002
Blue Eye,,,MO,7/4/2002 21:00,7,4,2002
New York City,,CROSS,NY,7/4/2002 21:00,7,4,2002
Strong,,SPHERE,OH,7/4/2002 21:00,7,4,2002
Vista,,,CA,7/4/2002 21:00,7,4,2002
Murrieta,,LIGHT,CA,7/4/2002 21:20,7,4,2002
Howell,,DISK,NJ,7/4/2002 21:30,7,4,2002
Hillsboro,,FIREBALL,OR,7/4/2002 22:45,7,4,2002
Seattle,,VARIOUS,WA,7/4/2002 22:45,7,4,2002
Hudson Bay,,,NJ,7/4/2002 23:02,7,4,2002
Forest Grove,,,OR,7/5/2002 0:00,7,5,2002
Las Vegas,,CHEVRON,NV,7/5/2002 2:00,7,5,2002
Portland,,LIGHT,ME,7/5/2002 3:15,7,5,2002
Cambridge,GREEN,LIGHT,MA,7/5/2002 4:09,7,5,2002
Granville,RED,CIRCLE,OH,7/5/2002 20:00,7,5,2002
Seattle,,LIGHT,WA,7/5/2002 22:30,7,5,2002
Capitola,,CHEVRON,CA,7/5/2002 23:45,7,5,2002
McDonough,,TRIANGLE,GA,7/5/2002 23:45,7,5,2002
Salt Lake City,,OTHER,UT,7/6/2002 0:01,7,6,2002
Franklinton,,TRIANGLE,LA,7/6/2002 1:00,7,6,2002
Waukesha,,CIRCLE,WI,7/6/2002 2:00,7,6,2002
Waukesha,,FIREBALL,WI,7/6/2002 7:30,7,6,2002
Houston,GREEN,TRIANGLE,TX,7/6/2002 11:45,7,6,2002
Clearlake,,FIREBALL,CA,7/6/2002 20:30,7,6,2002
Cloverdale,,OTHER,CA,7/6/2002 21:00,7,6,2002
Napa,,FIREBALL,CA,7/6/2002 21:00,7,6,2002
Cincinnati,RED,TRIANGLE,OH,7/6/2002 21:15,7,6,2002
Longmont,,CIRCLE,CO,7/6/2002 21:45,7,6,2002
Longmont,,CIRCLE,CO,7/6/2002 21:45,7,6,2002
Yreka,,SPHERE,CA,7/6/2002 22:41,7,6,2002
Clarksburg,,,WV,7/6/2002 23:00,7,6,2002
Pittsburgh,,RECTANGLE,PA,7/6/2002 23:00,7,6,2002
Bend,,TRIANGLE,OR,7/7/2002 0:15,7,7,2002
Bend,,TRIANGLE,OR,7/7/2002 1:00,7,7,2002
Myrtle Point,,CIGAR,OR,7/7/2002 1:30,7,7,2002
Cedar Hill,,FORMATION,TX,7/7/2002 4:37,7,7,2002
Eagle Butte,BLUE,LIGHT,SD,7/7/2002 9:45,7,7,2002
Charlotte,,CIRCLE,NC,7/7/2002 12:00,7,7,2002
Chagrin Falls,,CROSS,OH,7/7/2002 14:00,7,7,2002
Tehachapi Pass HWY 58,,RECTANGLE,CA,7/7/2002 16:00,7,7,2002
Henryetta,,FIREBALL,OK,7/8/2002 0:00,7,8,2002
Waterbury,,DISK,CT,7/8/2002 18:00,7,8,2002
Edisto Island,,SPHERE,SC,7/8/2002 20:30,7,8,2002
Chicago,,FLASH,IL,7/8/2002 20:45,7,8,2002
Sylacauga,,CIRCLE,AL,7/8/2002 21:00,7,8,2002
Pembroke Pines,GREEN,,FL,7/8/2002 21:10,7,8,2002
Miami,,TRIANGLE,FL,7/8/2002 23:00,7,8,2002
Brookhaven,,TRIANGLE,PA,7/9/2002 0:15,7,9,2002
Klamath Falls,,LIGHT,OR,7/9/2002 3:55,7,9,2002
Clearwater,,OTHER,FL,7/9/2002 12:28,7,9,2002
Modesto,,LIGHT,CA,7/9/2002 21:15,7,9,2002
San Antonio,,CIRCLE,TX,7/9/2002 21:30,7,9,2002
Bel AIr,,TRIANGLE,MD,7/9/2002 21:50,7,9,2002
Strawberry Plains,,,TN,7/9/2002 22:09,7,9,2002
Bullhead City,RED GREEN,OVAL,AZ,7/9/2002 23:00,7,9,2002
Abbeville,,TRIANGLE,SC,7/9/2002 23:45,7,9,2002
Tooele,,FIREBALL,UT,7/10/2002 1:30,7,10,2002
Mount Prospect,,DISK,IL,7/10/2002 19:00,7,10,2002
Rochester,,,NY,7/10/2002 19:24,7,10,2002
Charlotte,,LIGHT,NC,7/10/2002 21:50,7,10,2002
Big Sur,,,CA,7/10/2002 22:00,7,10,2002
Farmington,,LIGHT,WV,7/10/2002 22:13,7,10,2002
Commack,,LIGHT,NY,7/10/2002 22:15,7,10,2002
Canadian,,,TX,7/10/2002 22:30,7,10,2002
Redmond,,LIGHT,WA,7/10/2002 22:40,7,10,2002
Cape Coral,,CIRCLE,FL,7/10/2002 23:00,7,10,2002
Corona,,LIGHT,CA,7/10/2002 23:56,7,10,2002
Fort Collins,,TRIANGLE,CO,7/11/2002 1:00,7,11,2002
Sandy,,LIGHT,UT,7/11/2002 1:00,7,11,2002
St. Charles,,DISK,MO,7/11/2002 8:16,7,11,2002
Baltimore,,FLASH,MD,7/11/2002 21:15,7,11,2002
Easton,RED,CIRCLE,MI,7/11/2002 21:30,7,11,2002
Newark,,CIRCLE,OH,7/11/2002 22:00,7,11,2002
Seymour,,DISK,CT,7/11/2002 22:25,7,11,2002
West Chester,,LIGHT,OH,7/11/2002 22:50,7,11,2002
Rapid City,,LIGHT,SD,7/12/2002 1:20,7,12,2002
Pocatello,,TRIANGLE,ID,7/12/2002 2:00,7,12,2002
New Brighton,,CIGAR,PA,7/12/2002 14:00,7,12,2002
Snohomish,,CIRCLE,WA,7/12/2002 17:00,7,12,2002
Buffalo,,,NY,7/12/2002 18:42,7,12,2002
Beaver Meadows,,OVAL,PA,7/12/2002 19:30,7,12,2002
Hillsboro,,VARIOUS,OR,7/12/2002 22:00,7,12,2002
Clinton,,TRIANGLE,MS,7/12/2002 22:08,7,12,2002
Franklin,ORANGE,LIGHT,PA,7/12/2002 22:50,7,12,2002
Bangor,,CIGAR,ME,7/12/2002 23:15,7,12,2002
Hamlin,,FIREBALL,PA,7/13/2002 1:00,7,13,2002
Memphis,YELLOW,CHEVRON,TN,7/13/2002 2:24,7,13,2002
Lake Of The Ozarks,,CIGAR,MO,7/13/2002 4:30,7,13,2002
Saxonburg,,VARIOUS,PA,7/13/2002 6:39,7,13,2002
Denver,,TRIANGLE,CO,7/13/2002 11:00,7,13,2002
Indianapolis,,DISK,IN,7/13/2002 14:00,7,13,2002
Portland,,OVAL,OR,7/13/2002 20:30,7,13,2002
Lawrence,,CIGAR,KS,7/13/2002 21:10,7,13,2002
no data,,FORMATION,TX,7/13/2002 22:00,7,13,2002
Paramus,,FORMATION,NJ,7/13/2002 23:10,7,13,2002
Northport,,LIGHT,NY,7/13/2002 23:59,7,13,2002
Avenal,,LIGHT,CA,7/14/2002 0:00,7,14,2002
Taylorville,,CIRCLE,IL,7/14/2002 0:15,7,14,2002
Hamilton,,OTHER,OH,7/14/2002 2:30,7,14,2002
Cobmoosa Shores,,LIGHT,MI,7/14/2002 3:00,7,14,2002
Ashland,,,WI,7/14/2002 4:00,7,14,2002
LaGrangeville,,OVAL,NY,7/14/2002 13:00,7,14,2002
Fallschurch,,DISK,VA,7/14/2002 16:00,7,14,2002
Modesto,,VARIOUS,CA,7/14/2002 20:03,7,14,2002
North Myrtle Beach,,CIRCLE,SC,7/14/2002 22:00,7,14,2002
Rochester Hills,,CIRCLE,MI,7/14/2002 22:00,7,14,2002
Salem,,CIRCLE,OR,7/14/2002 22:25,7,14,2002
Pewaukee,,FLASH,WI,7/15/2002 0:00,7,15,2002
Sears Point,,LIGHT,NM,7/15/2002 0:00,7,15,2002
Moxee,,LIGHT,WA,7/15/2002 1:00,7,15,2002
Port Angeles,,LIGHT,WA,7/15/2002 1:30,7,15,2002
Manchester,,,NH,7/15/2002 3:00,7,15,2002
Lexington,,CYLINDER,KY,7/15/2002 4:00,7,15,2002
Kingsland,,LIGHT,TX,7/15/2002 4:30,7,15,2002
Aloha,,CIRCLE,OR,7/15/2002 7:45,7,15,2002
Harrisburg,,SPHERE,PA,7/15/2002 9:00,7,15,2002
Franklin County,,DISK,MO,7/15/2002 10:00,7,15,2002
Yardley,,TRIANGLE,PA,7/15/2002 11:30,7,15,2002
Fowlerville,,TRIANGLE,MI,7/15/2002 15:00,7,15,2002
New York City,,FIREBALL,NY,7/15/2002 15:00,7,15,2002
Rock River,,OVAL,WY,7/15/2002 15:00,7,15,2002
Burbank Heights,,CROSS,WA,7/15/2002 18:00,7,15,2002
Missoula,,FIREBALL,MT,7/15/2002 20:01,7,15,2002
Pomfret,,CIRCLE,VT,7/15/2002 20:45,7,15,2002
Atlantic,,,NJ,7/15/2002 21:00,7,15,2002
Indianapolis,,CIRCLE,IN,7/15/2002 21:00,7,15,2002
Bothell,,OVAL,WA,7/15/2002 22:00,7,15,2002
Duck,GREEN,FORMATION,NC,7/15/2002 22:00,7,15,2002
Pittsfield,,,ME,7/15/2002 22:00,7,15,2002
Tillamook,,LIGHT,OR,7/15/2002 22:00,7,15,2002
Cold Spring,RED YELLOW BLUE,CIRCLE,NY,7/15/2002 22:30,7,15,2002
Nampa,,LIGHT,ID,7/15/2002 22:30,7,15,2002
Rhinelander,,OTHER,WI,7/15/2002 23:00,7,15,2002
Hughson,,LIGHT,CA,7/15/2002 23:15,7,15,2002
Portland,,SPHERE,OR,7/16/2002 0:00,7,16,2002
New York City,,,NY,7/16/2002 10:00,7,16,2002
Broomfield,,TEARDROP,CO,7/16/2002 21:00,7,16,2002
Shelbyville,,TRIANGLE,TN,7/16/2002 21:00,7,16,2002
Riverhead,,LIGHT,NY,7/16/2002 22:00,7,16,2002
Jacksonville,,CIRCLE,AL,7/17/2002 2:30,7,17,2002
Mobile,,VARIOUS,AL,7/17/2002 2:33,7,17,2002
Barton City,ORANGE,FIREBALL,MI,7/17/2002 2:50,7,17,2002
Port Liberte,,DISK,NJ,7/17/2002 3:30,7,17,2002
Cleveland,,FLASH,TX,7/17/2002 4:45,7,17,2002
Fremont,,CIRCLE,OH,7/17/2002 16:30,7,17,2002
Addison,,OTHER,TX,7/17/2002 17:00,7,17,2002
Jacksonville,,FLASH,NC,7/17/2002 21:33,7,17,2002
Harbor Beach,,LIGHT,MI,7/17/2002 22:30,7,17,2002
Duluth,,TRIANGLE,GA,7/17/2002 22:55,7,17,2002
Hoover,,LIGHT,AL,7/18/2002 21:30,7,18,2002
Mill Valley,,LIGHT,CA,7/18/2002 21:30,7,18,2002
Van Nuys,,DISK,CA,7/19/2002 11:35,7,19,2002
Pembroke Pines,,CYLINDER,FL,7/19/2002 18:00,7,19,2002
Nashville,,VARIOUS,TN,7/19/2002 19:50,7,19,2002
Bessemer,,DISK,AL,7/19/2002 21:00,7,19,2002
Fair Play,ORANGE,FIREBALL,MO,7/19/2002 22:00,7,19,2002
Heber Springs,,FIREBALL,AR,7/19/2002 22:00,7,19,2002
Pinckney,,,MI,7/20/2002 0:00,7,20,2002
Fairfeild,,DISK,ME,7/20/2002 0:35,7,20,2002
Stampede Lake,,OTHER,NV,7/20/2002 2:00,7,20,2002
Phoenix,,CYLINDER,AZ,7/20/2002 8:30,7,20,2002
Carolina Beach,RED,FORMATION,NC,7/20/2002 20:00,7,20,2002
Anaheim,,TEARDROP,CA,7/20/2002 21:00,7,20,2002
Splendora,,OVAL,TX,7/20/2002 21:00,7,20,2002
Ford City,,,PA,7/20/2002 21:40,7,20,2002
San Jose,,OTHER,CA,7/20/2002 21:40,7,20,2002
Olivet,,,MI,7/20/2002 22:00,7,20,2002
Chittenango,,,NY,7/20/2002 22:15,7,20,2002
Maybrook,,FIREBALL,NY,7/20/2002 22:30,7,20,2002
Dorrington,,LIGHT,CA,7/20/2002 23:00,7,20,2002
Carrollton,,TEARDROP,TX,7/20/2002 23:35,7,20,2002
Dundee,,LIGHT,WI,7/21/2002 9:04,7,21,2002
Gilbert,BLUE,FIREBALL,AZ,7/21/2002 20:31,7,21,2002
Blacksburg,GREEN,OVAL,VA,7/21/2002 22:34,7,21,2002
Deer Lodge,,CIGAR,MT,7/21/2002 22:52,7,21,2002
Littleton,RED,CIRCLE,CO,7/22/2002 2:00,7,22,2002
LaVergne,,CIRCLE,TN,7/22/2002 19:45,7,22,2002
Colorado Springs,,SPHERE,CO,7/23/2002 3:00,7,23,2002
Spring Hill,,SPHERE,FL,7/23/2002 18:00,7,23,2002
Outer Banks,RED,LIGHT,NC,7/23/2002 21:50,7,23,2002
Kernville,RED,CHEVRON,CA,7/23/2002 22:00,7,23,2002
Los Angeles,RED,CHEVRON,CA,7/23/2002 22:00,7,23,2002
Tehachapi,RED,OTHER,CA,7/23/2002 22:00,7,23,2002
Los Angeles,,VARIOUS,CA,7/23/2002 22:05,7,23,2002
West Hills,,FORMATION,CA,7/23/2002 22:05,7,23,2002
West Hills,RED,FORMATION,CA,7/23/2002 22:05,7,23,2002
Valencia,RED,,CA,7/23/2002 22:10,7,23,2002
Avalon,,TRIANGLE,CA,7/23/2002 22:15,7,23,2002
Deer Lodge,,DISK,MT,7/23/2002 22:15,7,23,2002
Santa Monica,,TRIANGLE,CA,7/23/2002 22:15,7,23,2002
Marina del Rey,RED,CHEVRON,CA,7/23/2002 22:18,7,23,2002
Avalon,,FORMATION,CA,7/23/2002 22:30,7,23,2002
Avalon,RED,TRIANGLE,CA,7/23/2002 22:30,7,23,2002
Exeter,,TRIANGLE,CA,7/23/2002 22:30,7,23,2002
Reseda,RED BLUE,TRIANGLE,CA,7/23/2002 22:30,7,23,2002
Sequoia National Park,,TRIANGLE,CA,7/23/2002 22:30,7,23,2002
Albany,,FIREBALL,NY,7/24/2002 0:30,7,24,2002
Albany,,FIREBALL,NY,7/24/2002 0:30,7,24,2002
Haines City,RED ORANGE,,FL,7/24/2002 1:00,7,24,2002
Everson,,,WA,7/24/2002 2:50,7,24,2002
Pauls Valley,,DIAMOND,OK,7/24/2002 10:00,7,24,2002
North Huntingdon,RED,SPHERE,PA,7/24/2002 22:00,7,24,2002
Wichita,,FORMATION,KS,7/25/2002 0:37,7,25,2002
Beaumont,RED GREEN,LIGHT,TX,7/25/2002 2:00,7,25,2002
Polk City,,SPHERE,FL,7/25/2002 9:20,7,25,2002
Beachwood,,OVAL,OH,7/25/2002 11:55,7,25,2002
Greenfield,,CIRCLE,IN,7/25/2002 14:00,7,25,2002
Summerfield,,SPHERE,FL,7/25/2002 20:50,7,25,2002
Galt,,DIAMOND,CA,7/25/2002 21:30,7,25,2002
Shirley,,FORMATION,NY,7/25/2002 21:30,7,25,2002
Shirley,,LIGHT,NY,7/25/2002 21:30,7,25,2002
Portland,,LIGHT,OR,7/25/2002 23:00,7,25,2002
Waldorf,,,MD,7/26/2002 1:00,7,26,2002
Waldorf,,LIGHT,VA,7/26/2002 1:00,7,26,2002
Columbus,,CIRCLE,OH,7/26/2002 1:07,7,26,2002
Andrews AFB,,OVAL,MD,7/26/2002 1:15,7,26,2002
Arlington,,LIGHT,VA,7/26/2002 1:15,7,26,2002
Waldorf,,CIRCLE,MD,7/26/2002 1:30,7,26,2002
Seattle,,CIGAR,WA,7/26/2002 2:00,7,26,2002
Mojave,,LIGHT,CA,7/26/2002 3:43,7,26,2002
Socorro,GREEN,TRIANGLE,NM,7/26/2002 5:45,7,26,2002
Seville,,OVAL,OH,7/26/2002 20:00,7,26,2002
North Bennington,,DISK,VT,7/26/2002 21:00,7,26,2002
Xenia,RED,CIRCLE,OH,7/26/2002 21:00,7,26,2002
None,,FLASH,CO,7/26/2002 22:00,7,26,2002
Philadelphia,,LIGHT,PA,7/26/2002 22:10,7,26,2002
Hazard,,FORMATION,KY,7/26/2002 22:30,7,26,2002
Dallas,RED ORANGE YELLOW,FIREBALL,TX,7/26/2002 22:45,7,26,2002
Portland,,LIGHT,OR,7/26/2002 22:45,7,26,2002
Acme,,LIGHT,MI,7/26/2002 23:30,7,26,2002
Evans,ORANGE,VARIOUS,WV,7/26/2002 23:50,7,26,2002
Troy,,RECTANGLE,MI,7/27/2002 3:20,7,27,2002
Holstein,,LIGHT,IA,7/27/2002 4:55,7,27,2002
Wilmington,,RECTANGLE,CA,7/27/2002 14:00,7,27,2002
North Little Rock,,DISK,AR,7/27/2002 16:00,7,27,2002
Phoenix,,CIRCLE,AZ,7/27/2002 20:15,7,27,2002
Simi Valley,YELLOW,OVAL,CA,7/27/2002 21:45,7,27,2002
Mohawk,,LIGHT,NY,7/27/2002 22:30,7,27,2002
Seattle,,FLASH,WA,7/27/2002 23:00,7,27,2002
Cheektowaga,GREEN,TRIANGLE,NY,7/28/2002 1:00,7,28,2002
Pocahontas,ORANGE GREEN BLUE,DISK,AR,7/28/2002 1:30,7,28,2002
Sedona,,OVAL,AZ,7/28/2002 3:10,7,28,2002
Truth or Consequences,,VARIOUS,NM,7/28/2002 10:00,7,28,2002
Inglewood,,,CA,7/28/2002 18:00,7,28,2002
New York City,,VARIOUS,NY,7/28/2002 20:10,7,28,2002
Coutit,,LIGHT,MA,7/28/2002 22:00,7,28,2002
Rapid City,,LIGHT,SD,7/28/2002 22:00,7,28,2002
Thornton,,CIRCLE,CO,7/28/2002 22:30,7,28,2002
Goleta,,,CA,7/28/2002 23:30,7,28,2002
Phoenix,,CHEVRON,AZ,7/29/2002 0:00,7,29,2002
Cliffwood,,DISK,NJ,7/29/2002 17:00,7,29,2002
New Orleans,,OVAL,LA,7/29/2002 19:30,7,29,2002
Santa Cruz,RED,,CA,7/29/2002 21:15,7,29,2002
West Los Angeles,,SPHERE,CA,7/29/2002 21:50,7,29,2002
New York Mills,RED GREEN,FLASH,NY,7/29/2002 22:15,7,29,2002
Bluefield,BLUE,LIGHT,WV,7/29/2002 22:30,7,29,2002
